url,Manufacturer,Product Family,Product Name,Product Model,UPC Code,Catalog Number,Product Description,Features,Parent Category,Category,Product Image,Additional Images & Videos,Spec Sheet,IES File,Additional pdf downloads,BIM File,Revit File,Cad File,Related Product name,Related Product URL,Keywords,Fixture Size,Fixture Lengths,Finishes,Colors,Mounting,Housing,Optics,Ballast/Driver,Electrical,Wattage,Voltage,Lamp/Light Source,Color Temperature (CCT),Lumens,LED,Quick Ship,Made in the USA,Buy American,DLC Qualified,Energy Star,Facebook,Linkedin,Twitter,Instagram,Youtube,Vimeo,Terms and Conditions,status
https://www.ferrolightdesign.com/product-incl/dime,FERROLIGHT Design,,DIME,,,,,,,,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef2d67c162e16db1546f_DIME.webp,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef2d67c162e16db1546f_DIME.webp; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62eb82aeadba7196353b79e9_dime_02.jpg,,,,,,,,,,,,,,,,,,,,,"1 Continuous LED light line of 21,65 Watt per meter (no LED dots visible); 3 LED modules of 8,4 Watt; 1 Continuous LED light line of 21,65 Watt per meter (no LED dots visible)",,,Yes,,,,,,,,,,,,,New
https://www.ferrolightdesign.com/product-incl/spoetnik,FERROLIGHT Design,,SPOETNIK & MINI MEGA,,,,,,,,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef358b58a769ff5ac340_SPOETNIK.webp,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef358b58a769ff5ac340_SPOETNIK.webp; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfcf96468d276c71a19419_spoetnik_01.jpg; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfcfb557f1007abb60081e_spoetnik_02.jpg; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfcfb5f2fd5da38c7570c5_spoetnik_04.jpg; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfcfb5e4837909fd5b16cb_spoetnik_03.jpg,,,,,,,,,,,,,,,,,,,,,"10 LED’s of 1,2 Watt; 3 LED modules of 8,4 Watt; 10 LED’s of 1,2 Watt",,,Yes,,,,,,,,,,,,,New
https://www.ferrolightdesign.com/product-incl/joy-one,FERROLIGHT Design,,JOY,,,,,,,,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef2f0b03163e3e314821_JOY.webp,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef2f0b03163e3e314821_JOY.webp,,,,,,,,,,,,,,,,,,,,,"1 LED-module of 6,3 Watt; 3 LED modules of 8,4 Watt; 1 LED-module of 2,1 Watt",,,Yes,,,,,,,,,,,,,New
https://www.ferrolightdesign.com/product-incl/joy-duo,FERROLIGHT Design,,JOY DUO,,,,,,,,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef3072d28c84d5781cfe_JOY_DUO.webp,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef3072d28c84d5781cfe_JOY_DUO.webp; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd26d531f949dbfb000d6_JETLIGHT_03.jpg,,,,,,,,,,,,,,,,,,,,,"2 LED-modules of 6,3 Watt; 3 LED modules of 8,4 Watt; 2 LED-modules of 2,1 Watt",,,Yes,,,,,,,,,,,,,New
https://www.ferrolightdesign.com/product-incl/joy-circa,FERROLIGHT Design,,JOY CIRCA,,,,,,,,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef2ff9a4cccdfc124d0e_JOY_CIRCA.webp,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef2ff9a4cccdfc124d0e_JOY_CIRCA.webp,,,,,,,,,,,,,,,,,,,,,"3 LED-modules of 6,3 Watt; 3 LED modules of 8,4 Watt; 3 LED-modules of 2,1 Watt",,,Yes,,,,,,,,,,,,,New
https://www.ferrolightdesign.com/product-incl/joyful,FERROLIGHT Design,,JOYFUL,,,,,,,,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef2d7a427c6ddac0a81d_JOYFUL.webp,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef2d7a427c6ddac0a81d_JOYFUL.webp; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62ecc6890e99ef8302da49cb_JOYFUL_2.jpg,,,,,,,,,,,,,,,,,,,,,"12 led modules of 2,1 Watt (1 ring); 3 LED modules of 8,4 Watt; 12 led modules of 2,1 Watt (1 ring)",,,Yes,,,,,,,,,,,,,New
https://www.ferrolightdesign.com/product-incl/joyful-double,FERROLIGHT Design,,JOYFUL DOUBLE,,,,,,,,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef356dad4cd30a06c8ed_JOYFUL_DOUBLE.webp,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef356dad4cd30a06c8ed_JOYFUL_DOUBLE.webp; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62ecc7022d48b9ddf4a8a411_JOYFUL_DOUBLE_2.jpg; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62eccba81cef2803fa050abe_JOYFUL_DOUBLE_3.jpg,,,,,,,,,,,,,,,,,,,,,"30 led modules of 2,1 Watt (2 ring); 3 LED modules of 8,4 Watt; 30 led modules of 2,1 Watt (2 ring)",,,Yes,,,,,,,,,,,,,New
https://www.ferrolightdesign.com/catagory/ceiling#,FERROLIGHT Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New
https://www.ferrolightdesign.com/product-incl/bes,FERROLIGHT Design,,B.E.S.,,,,,,,,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd15f7af2371fe6daa221_BES_01.jpg,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd15f7af2371fe6daa221_BES_01.jpg; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd17025f639ca564c6b2c_BES_02.jpg,,,,,,,,,,,,,,,,,,,,,"5 LEDs of 2,1 Watt; 3 LED modules of 8,4 Watt; 5 LEDs of 2,1 Watt",,,Yes,,,,,,,,,,,,,New
https://www.ferrolightdesign.com/product-incl/flow,FERROLIGHT Design,,FLOW,,,,,,,,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef2e7a427c5825c0a843_FLOW.webp,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef2e7a427c5825c0a843_FLOW.webp; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd1a8ae9124738329e71d_FLOW_01.jpg,,,,,,,,,,,,,,,Ø 25 cm,,,,,,"LED 6,3 Watt; LED 6,3 + 8 Watt; 3 LED modules of 8,4 Watt; LED 6,3 Watt; LED 6,3 + 8 Watt",,,Yes,,,,,,,,,,,,,New
